
ŞRJ/20390,Bal Plaza,Halka Açık,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Çağlayan Mahallesi No:142 Muratpaşa / ANTALYA,
ŞRJ/20407,RKC ŞARJ,Halka Açık,GREENWATT,GREEN WATT ENERJİ ÜRETİM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,GREEN WATT ENERJİ ÜRETİM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,Dobruca Mahallesi 3. Nilüfer Caddesi No:94/1 Osmangazi / BURSA,
ŞRJ/20410,AYDINLIK PARK SİTESİ,Halka Açık,Wattarya,WATTARYA ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,WATTARYA ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Aydınlıkevler Mahallesi Kuvvet Sokağı No:3- C Blok Ortahisar / TRABZON,
ŞRJ/20463,Nüans Deluxe,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Karacaoğlan Mahallesi Bornova / İZMİR,
ŞRJ/20464,Batıpark Konutları,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Kardelen Mahallesi 2040 Sokağı Yenimahalle / ANKARA,
ŞRJ/20465,Uphill Court C Ada,Özel,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Barbaros Mahallesi Dereboyu Caddesi Gelincik Sokağı No:12 Ataşehir / İSTANBUL,
ŞRJ/20479,Bostancı Clubsporium,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Bostancı Mahallesi Tünel Girişi Sokağı No:10 Kadıköy / İSTANBUL,
ŞRJ/20481,M1 Konya AVM,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,Yazır Mahallesi Doç.dr.halil Ürün Caddesi No:22/79 Selçuklu / KONYA,
ŞRJ/20482,Ramada Plaza By Wyndham Istanbul City Center,Halka Açık,zes,ZES DİJİTAL TİCARET ANONİM ŞİRKETİ,BOLT ENERJİ ÇÖZÜMLERİ LİMİTED ŞİRKETİ,Halaskargazi Mahallesi Halaskargazi Caddesi No:63 Şişli / İSTANBUL,
ŞRJ/20523,Opet Hüsna Uzun,Halka Açık,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Bahtılı Mahallesi Ulu Önder Atatürk Caddesi No:402 Konyaaltı / ANTALYA,
ŞRJ/20524,McDonald's Yenigöl,Halka Açık,wat mobilite,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,WAT MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ VE TİCARET ANONİM ŞİRKETİ,Yenigöl Mahallesi Serik Caddesi No:74 Muratpaşa / ANTALYA,
